,id,code,category,parent,value
79,"Buyers and Purchasing Agents, Farm Products",13-1021,detailed,Buyers and Purchasing Agents,50
80,"Wholesale and Retail Buyers, Except Farm Products",13-1022,detailed,Buyers and Purchasing Agents,50
81,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,detailed,Buyers and Purchasing Agents,50
82,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1030,broad,Business Operations Specialists,50
83,"Claims Adjusters, Examiners, and Investigators",13-1031,detailed,"Claims Adjusters, Appraisers, Examiners, and Investigators",50
84,"Insurance Appraisers, Auto Damage",13-1032,detailed,"Claims Adjusters, Appraisers, Examiners, and Investigators",50
85,Compliance Officers,13-1040,broad,Business Operations Specialists,50
87,Cost Estimators,13-1050,broad,Business Operations Specialists,50
89,Human Resources Workers,13-1070,broad,Business Operations Specialists,50
90,Human Resources Specialists,13-1071,detailed,Human Resources Workers,50
91,Farm Labor Contractors,13-1074,detailed,Human Resources Workers,50
92,Labor Relations Specialists,13-1075,detailed,Human Resources Workers,50
93,Logisticians and Project Management Specialists,13-1080,broad,Business Operations Specialists,50
94,Logisticians,13-1081,detailed,Logisticians and Project Management Specialists,50
95,Project Management Specialists,13-1082,detailed,Logisticians and Project Management Specialists,50
96,Management Analysts,13-1110,broad,Business Operations Specialists,50
98,"Meeting, Convention, and Event Planners",13-1120,broad,Business Operations Specialists,50
100,Fundraisers,13-1130,broad,Business Operations Specialists,50
102,"Compensation, Benefits, and Job Analysis Specialists",13-1140,broad,Business Operations Specialists,50
104,Training and Development Specialists,13-1150,broad,Business Operations Specialists,50
106,Market Research Analysts and Marketing Specialists,13-1160,broad,Business Operations Specialists,50
108,Miscellaneous Business Operations Specialists,13-1190,broad,Business Operations Specialists,50
109,"Business Operations Specialists, All Other",13-1199,detailed,Miscellaneous Business Operations Specialists,50
110,Financial Specialists,13-2000,minor,Business and Financial Operations Occupations,50
111,Accountants and Auditors,13-2010,broad,Financial Specialists,50
113,Property Appraisers and Assessors,13-2020,broad,Financial Specialists,50
114,Appraisers of Personal and Business Property,13-2022,detailed,Property Appraisers and Assessors,50
115,Appraisers and Assessors of Real Estate,13-2023,detailed,Property Appraisers and Assessors,50
116,Budget Analysts,13-2030,broad,Financial Specialists,50
118,Credit Analysts,13-2040,broad,Financial Specialists,50
120,Financial Analysts and Advisors,13-2050,broad,Financial Specialists,50
121,Financial and Investment Analysts,13-2051,detailed,Financial Analysts and Advisors,50
122,Personal Financial Advisors,13-2052,detailed,Financial Analysts and Advisors,50
123,Insurance Underwriters,13-2053,detailed,Financial Analysts and Advisors,50
124,Financial Risk Specialists,13-2054,detailed,Financial Analysts and Advisors,50
125,Financial Examiners,13-2060,broad,Financial Specialists,50
127,Credit Counselors and Loan Officers,13-2070,broad,Financial Specialists,50
128,Credit Counselors,13-2071,detailed,Credit Counselors and Loan Officers,50
129,Loan Officers,13-2072,detailed,Credit Counselors and Loan Officers,50
130,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-2080,broad,Financial Specialists,50
131,"Tax Examiners and Collectors, and Revenue Agents",13-2081,detailed,"Tax Examiners, Collectors and Preparers, and Revenue Agents",50
132,Tax Preparers,13-2082,detailed,"Tax Examiners, Collectors and Preparers, and Revenue Agents",50
133,Miscellaneous Financial Specialists,13-2090,broad,Financial Specialists,50
134,"Financial Specialists, All Other",13-2099,detailed,Miscellaneous Financial Specialists,50
135,Computer and Mathematical Occupations,15-0000,major,All Occupations,50
136,Computer Occupations,15-1200,minor,Computer and Mathematical Occupations,50
137,Computer and Information Analysts,15-1210,broad,Computer Occupations,50
138,Computer Systems Analysts,15-1211,detailed,Computer and Information Analysts,50
139,Information Security Analysts,15-1212,detailed,Computer and Information Analysts,50
140,Computer and Information Research Scientists,15-1220,broad,Computer Occupations,50
142,Computer Support Specialists,15-1230,broad,Computer Occupations,50
143,Computer Network Support Specialists,15-1231,detailed,Computer Support Specialists,50
144,Computer User Support Specialists,15-1232,detailed,Computer Support Specialists,50
145,Database and Network Administrators and Architects,15-1240,broad,Computer Occupations,50
146,Computer Network Architects,15-1241,detailed,Database and Network Administrators and Architects,50
147,Database Administrators,15-1242,detailed,Database and Network Administrators and Architects,50
148,Database Architects,15-1243,detailed,Database and Network Administrators and Architects,50
149,Network and Computer Systems Administrators,15-1244,detailed,Database and Network Administrators and Architects,50
150,"Software and Web Developers, Programmers, and Testers",15-1250,broad,Computer Occupations,50
151,Computer Programmers,15-1251,detailed,"Software and Web Developers, Programmers, and Testers",50
152,Software Developers,15-1252,detailed,"Software and Web Developers, Programmers, and Testers",50
153,Software Quality Assurance Analysts and Testers,15-1253,detailed,"Software and Web Developers, Programmers, and Testers",50
154,Web Developers,15-1254,detailed,"Software and Web Developers, Programmers, and Testers",50
155,Web and Digital Interface Designers,15-1255,detailed,"Software and Web Developers, Programmers, and Testers",50
156,Miscellaneous Computer Occupations,15-1290,broad,Computer Occupations,50
157,"Computer Occupations, All Other",15-1299,detailed,Miscellaneous Computer Occupations,50
158,Mathematical Science Occupations,15-2000,minor,Computer and Mathematical Occupations,50
159,Actuaries,15-2010,broad,Mathematical Science Occupations,50
161,Mathematicians,15-2020,broad,Mathematical Science Occupations,50
163,Operations Research Analysts,15-2030,broad,Mathematical Science Occupations,50
165,Statisticians,15-2040,broad,Mathematical Science Occupations,50
167,Data Scientists,15-2050,broad,Mathematical Science Occupations,50
169,Miscellaneous Mathematical Science Occupations,15-2090,broad,Mathematical Science Occupations,50
170,"Mathematical Science Occupations, All Other",15-2099,detailed,Miscellaneous Mathematical Science Occupations,50
171,Architecture and Engineering Occupations,17-0000,major,All Occupations,50
172,"Architects, Surveyors, and Cartographers",17-1000,minor,Architecture and Engineering Occupations,50
173,"Architects, Except Naval",17-1010,broad,"Architects, Surveyors, and Cartographers",50
174,"Architects, Except Landscape and Naval",17-1011,detailed,"Architects, Except Naval",50
175,Landscape Architects,17-1012,detailed,"Architects, Except Naval",50
176,"Surveyors, Cartographers, and Photogrammetrists",17-1020,broad,"Architects, Surveyors, and Cartographers",50
177,Cartographers and Photogrammetrists,17-1021,detailed,"Surveyors, Cartographers, and Photogrammetrists",50
178,Surveyors,17-1022,detailed,"Surveyors, Cartographers, and Photogrammetrists",50
179,Engineers,17-2000,minor,Architecture and Engineering Occupations,50
180,Aerospace Engineers,17-2010,broad,Engineers,50
182,Agricultural Engineers,17-2020,broad,Engineers,50
184,Bioengineers and Biomedical Engineers,17-2030,broad,Engineers,50
186,Chemical Engineers,17-2040,broad,Engineers,50
188,Civil Engineers,17-2050,broad,Engineers,50
190,Computer Hardware Engineers,17-2060,broad,Engineers,50
192,Electrical and Electronics Engineers,17-2070,broad,Engineers,50
193,Electrical Engineers,17-2071,detailed,Electrical and Electronics Engineers,50
194,"Electronics Engineers, Except Computer",17-2072,detailed,Electrical and Electronics Engineers,50
195,Environmental Engineers,17-2080,broad,Engineers,50
197,"Industrial Engineers, Including Health and Safety",17-2110,broad,Engineers,50
198,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,detailed,"Industrial Engineers, Including Health and Safety",50
199,Industrial Engineers,17-2112,detailed,"Industrial Engineers, Including Health and Safety",50
200,Marine Engineers and Naval Architects,17-2120,broad,Engineers,50
202,Materials Engineers,17-2130,broad,Engineers,50
204,Mechanical Engineers,17-2140,broad,Engineers,50
206,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2150,broad,Engineers,50
208,Nuclear Engineers,17-2160,broad,Engineers,50
210,Petroleum Engineers,17-2170,broad,Engineers,50
212,Miscellaneous Engineers,17-2190,broad,Engineers,50
213,"Engineers, All Other",17-2199,detailed,Miscellaneous Engineers,50
214,"Drafters, Engineering Technicians, and Mapping Technicians",17-3000,minor,Architecture and Engineering Occupations,50
215,Drafters,17-3010,broad,"Drafters, Engineering Technicians, and Mapping Technicians",50
216,Architectural and Civil Drafters,17-3011,detailed,Drafters,50
217,Electrical and Electronics Drafters,17-3012,detailed,Drafters,50
218,Mechanical Drafters,17-3013,detailed,Drafters,50
219,"Drafters, All Other",17-3019,detailed,Drafters,50
220,"Engineering Technologists and Technicians, Except Drafters",17-3020,broad,"Drafters, Engineering Technicians, and Mapping Technicians",50
221,Aerospace Engineering and Operations Technologists and Technicians,17-3021,detailed,"Engineering Technologists and Technicians, Except Drafters",50
222,Civil Engineering Technologists and Technicians,17-3022,detailed,"Engineering Technologists and Technicians, Except Drafters",50
223,Electrical and Electronic Engineering Technologists and Technicians,17-3023,detailed,"Engineering Technologists and Technicians, Except Drafters",50
224,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024,detailed,"Engineering Technologists and Technicians, Except Drafters",50
225,Environmental Engineering Technologists and Technicians,17-3025,detailed,"Engineering Technologists and Technicians, Except Drafters",50
226,Industrial Engineering Technologists and Technicians,17-3026,detailed,"Engineering Technologists and Technicians, Except Drafters",50
227,Mechanical Engineering Technologists and Technicians,17-3027,detailed,"Engineering Technologists and Technicians, Except Drafters",50
228,Calibration Technologists and Technicians,17-3028,detailed,"Engineering Technologists and Technicians, Except Drafters",50
229,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029,detailed,"Engineering Technologists and Technicians, Except Drafters",50
230,Surveying and Mapping Technicians,17-3030,broad,"Drafters, Engineering Technicians, and Mapping Technicians",50
232,"Life, Physical, and Social Science Occupations",19-0000,major,All Occupations,50
233,Life Scientists,19-1000,minor,"Life, Physical, and Social Science Occupations",50
234,Agricultural and Food Scientists,19-1010,broad,Life Scientists,50
235,Animal Scientists,19-1011,detailed,Agricultural and Food Scientists,50
236,Food Scientists and Technologists,19-1012,detailed,Agricultural and Food Scientists,50
237,Soil and Plant Scientists,19-1013,detailed,Agricultural and Food Scientists,50
238,Biological Scientists,19-1020,broad,Life Scientists,50
239,Biochemists and Biophysicists,19-1021,detailed,Biological Scientists,50
240,Microbiologists,19-1022,detailed,Biological Scientists,50
241,Zoologists and Wildlife Biologists,19-1023,detailed,Biological Scientists,50
242,"Biological Scientists, All Other",19-1029,detailed,Biological Scientists,50
243,Conservation Scientists and Foresters,19-1030,broad,Life Scientists,50
244,Conservation Scientists,19-1031,detailed,Conservation Scientists and Foresters,50
245,Foresters,19-1032,detailed,Conservation Scientists and Foresters,50
246,Medical Scientists,19-1040,broad,Life Scientists,50
247,Epidemiologists,19-1041,detailed,Medical Scientists,50
248,"Medical Scientists, Except Epidemiologists",19-1042,detailed,Medical Scientists,50
249,Miscellaneous Life Scientists,19-1090,broad,Life Scientists,50
250,"Life Scientists, All Other",19-1099,detailed,Miscellaneous Life Scientists,50
251,Physical Scientists,19-2000,minor,"Life, Physical, and Social Science Occupations",50
252,Astronomers and Physicists,19-2010,broad,Physical Scientists,50
253,Astronomers,19-2011,detailed,Astronomers and Physicists,50
254,Physicists,19-2012,detailed,Astronomers and Physicists,50
255,Atmospheric and Space Scientists,19-2020,broad,Physical Scientists,50
257,Chemists and Materials Scientists,19-2030,broad,Physical Scientists,50
258,Chemists,19-2031,detailed,Chemists and Materials Scientists,50
259,Materials Scientists,19-2032,detailed,Chemists and Materials Scientists,50
260,Environmental Scientists and Geoscientists,19-2040,broad,Physical Scientists,50
261,"Environmental Scientists and Specialists, Including Health",19-2041,detailed,Environmental Scientists and Geoscientists,50
262,"Geoscientists, Except Hydrologists and Geographers",19-2042,detailed,Environmental Scientists and Geoscientists,50
263,Hydrologists,19-2043,detailed,Environmental Scientists and Geoscientists,50
264,Miscellaneous Physical Scientists,19-2090,broad,Physical Scientists,50
265,"Physical Scientists, All Other",19-2099,detailed,Miscellaneous Physical Scientists,50
266,Social Scientists and Related Workers,19-3000,minor,"Life, Physical, and Social Science Occupations",50
267,Economists,19-3010,broad,Social Scientists and Related Workers,50
269,Survey Researchers,19-3020,broad,Social Scientists and Related Workers,50
271,Psychologists,19-3030,broad,Social Scientists and Related Workers,50
272,Industrial-Organizational Psychologists,19-3032,detailed,Psychologists,50
273,Clinical and Counseling Psychologists,19-3033,detailed,Psychologists,50
274,School Psychologists,19-3034,detailed,Psychologists,50
275,"Psychologists, All Other",19-3039,detailed,Psychologists,50
276,Sociologists,19-3040,broad,Social Scientists and Related Workers,50
278,Urban and Regional Planners,19-3050,broad,Social Scientists and Related Workers,50
280,Miscellaneous Social Scientists and Related Workers,19-3090,broad,Social Scientists and Related Workers,50
281,Anthropologists and Archeologists,19-3091,detailed,Miscellaneous Social Scientists and Related Workers,50
282,Geographers,19-3092,detailed,Miscellaneous Social Scientists and Related Workers,50
283,Historians,19-3093,detailed,Miscellaneous Social Scientists and Related Workers,50
284,Political Scientists,19-3094,detailed,Miscellaneous Social Scientists and Related Workers,50
285,"Social Scientists and Related Workers, All Other",19-3099,detailed,Miscellaneous Social Scientists and Related Workers,50
286,"Life, Physical, and Social Science Technicians",19-4000,minor,"Life, Physical, and Social Science Occupations",50
287,Agricultural and Food Science Technicians,19-4010,broad,"Life, Physical, and Social Science Technicians",50
288,Agricultural Technicians,19-4012,detailed,Agricultural and Food Science Technicians,50
289,Food Science Technicians,19-4013,detailed,Agricultural and Food Science Technicians,50
290,Biological Technicians,19-4020,broad,"Life, Physical, and Social Science Technicians",50
292,Chemical Technicians,19-4030,broad,"Life, Physical, and Social Science Technicians",50
294,Environmental Science and Geoscience Technicians,19-4040,broad,"Life, Physical, and Social Science Technicians",50
295,"Environmental Science and Protection Technicians, Including Health",19-4042,detailed,Environmental Science and Geoscience Technicians,50
296,"Geological Technicians, Except Hydrologic Technicians",19-4043,detailed,Environmental Science and Geoscience Technicians,50
297,Hydrologic Technicians,19-4044,detailed,Environmental Science and Geoscience Technicians,50
298,Nuclear Technicians,19-4050,broad,"Life, Physical, and Social Science Technicians",50
300,Social Science Research Assistants,19-4060,broad,"Life, Physical, and Social Science Technicians",50
302,Forest and Conservation Technicians,19-4070,broad,"Life, Physical, and Social Science Technicians",50
304,"Miscellaneous Life, Physical, and Social Science Technicians",19-4090,broad,"Life, Physical, and Social Science Technicians",50
305,Forensic Science Technicians,19-4092,detailed,"Miscellaneous Life, Physical, and Social Science Technicians",50
306,"Life, Physical, and Social Science Technicians, All Other",19-4099,detailed,"Miscellaneous Life, Physical, and Social Science Technicians",50
307,Occupational Health and Safety Specialists and Technicians,19-5000,minor,"Life, Physical, and Social Science Occupations",50
309,Occupational Health and Safety Specialists,19-5011,detailed,Occupational Health and Safety Specialists and Technicians,50
310,Occupational Health and Safety Technicians,19-5012,detailed,Occupational Health and Safety Specialists and Technicians,50
311,Community and Social Service Occupations,21-0000,major,All Occupations,50
312,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1000,minor,Community and Social Service Occupations,50
313,Counselors,21-1010,broad,"Counselors, Social Workers, and Other Community and Social Service Specialists",50
314,Substance Abuse and Behavioral Disorder Counselors,21-1011,detailed,Counselors,50
315,"Educational, Guidance, and Career Counselors and Advisors",21-1012,detailed,Counselors,50
316,Marriage and Family Therapists,21-1013,detailed,Counselors,50
317,Mental Health Counselors,21-1014,detailed,Counselors,50
318,Rehabilitation Counselors,21-1015,detailed,Counselors,50
319,"Counselors, All Other",21-1019,detailed,Counselors,50
320,Social Workers,21-1020,broad,"Counselors, Social Workers, and Other Community and Social Service Specialists",50
321,"Child, Family, and School Social Workers",21-1021,detailed,Social Workers,50
322,Healthcare Social Workers,21-1022,detailed,Social Workers,50
323,Mental Health and Substance Abuse Social Workers,21-1023,detailed,Social Workers,50
324,"Social Workers, All Other",21-1029,detailed,Social Workers,50
325,Miscellaneous Community and Social Service Specialists,21-1090,broad,"Counselors, Social Workers, and Other Community and Social Service Specialists",50
326,Health Education Specialists,21-1091,detailed,Miscellaneous Community and Social Service Specialists,50
327,Probation Officers and Correctional Treatment Specialists,21-1092,detailed,Miscellaneous Community and Social Service Specialists,50
328,Social and Human Service Assistants,21-1093,detailed,Miscellaneous Community and Social Service Specialists,50
329,Community Health Workers,21-1094,detailed,Miscellaneous Community and Social Service Specialists,50
330,"Community and Social Service Specialists, All Other",21-1099,detailed,Miscellaneous Community and Social Service Specialists,50
331,Religious Workers,21-2000,minor,Community and Social Service Occupations,50
332,Clergy,21-2010,broad,Religious Workers,50
334,"Directors, Religious Activities and Education",21-2020,broad,Religious Workers,50
336,Miscellaneous Religious Workers,21-2090,broad,Religious Workers,50
337,"Religious Workers, All Other",21-2099,detailed,Miscellaneous Religious Workers,50
338,Legal Occupations,23-0000,major,All Occupations,50
339,"Lawyers, Judges, and Related Workers",23-1000,minor,Legal Occupations,50
340,Lawyers and Judicial Law Clerks,23-1010,broad,"Lawyers, Judges, and Related Workers",50
341,Lawyers,23-1011,detailed,Lawyers and Judicial Law Clerks,50
342,Judicial Law Clerks,23-1012,detailed,Lawyers and Judicial Law Clerks,50
343,"Judges, Magistrates, and Other Judicial Workers",23-1020,broad,"Lawyers, Judges, and Related Workers",50
344,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,detailed,"Judges, Magistrates, and Other Judicial Workers",50
345,"Arbitrators, Mediators, and Conciliators",23-1022,detailed,"Judges, Magistrates, and Other Judicial Workers",50
346,"Judges, Magistrate Judges, and Magistrates",23-1023,detailed,"Judges, Magistrates, and Other Judicial Workers",50
347,Legal Support Workers,23-2000,minor,Legal Occupations,50
348,Paralegals and Legal Assistants,23-2010,broad,Legal Support Workers,50
350,Miscellaneous Legal Support Workers,23-2090,broad,Legal Support Workers,50
351,"Title Examiners, Abstractors, and Searchers",23-2093,detailed,Miscellaneous Legal Support Workers,50
352,"Legal Support Workers, All Other",23-2099,detailed,Miscellaneous Legal Support Workers,50
353,Educational Instruction and Library Occupations,25-0000,major,All Occupations,50
354,Postsecondary Teachers,25-1000,minor,Educational Instruction and Library Occupations,50
355,"Business Teachers, Postsecondary",25-1010,broad,Postsecondary Teachers,50
357,"Math and Computer Science Teachers, Postsecondary",25-1020,broad,Postsecondary Teachers,50
358,"Computer Science Teachers, Postsecondary",25-1021,detailed,"Math and Computer Science Teachers, Postsecondary",50
359,"Mathematical Science Teachers, Postsecondary",25-1022,detailed,"Math and Computer Science Teachers, Postsecondary",50
360,"Engineering and Architecture Teachers, Postsecondary",25-1030,broad,Postsecondary Teachers,50
361,"Architecture Teachers, Postsecondary",25-1031,detailed,"Engineering and Architecture Teachers, Postsecondary",50
362,"Engineering Teachers, Postsecondary",25-1032,detailed,"Engineering and Architecture Teachers, Postsecondary",50
363,"Life Sciences Teachers, Postsecondary",25-1040,broad,Postsecondary Teachers,50
364,"Agricultural Sciences Teachers, Postsecondary",25-1041,detailed,"Life Sciences Teachers, Postsecondary",50
365,"Biological Science Teachers, Postsecondary",25-1042,detailed,"Life Sciences Teachers, Postsecondary",50
366,"Forestry and Conservation Science Teachers, Postsecondary",25-1043,detailed,"Life Sciences Teachers, Postsecondary",50
367,"Physical Sciences Teachers, Postsecondary",25-1050,broad,Postsecondary Teachers,50
368,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",25-1051,detailed,"Physical Sciences Teachers, Postsecondary",50
369,"Chemistry Teachers, Postsecondary",25-1052,detailed,"Physical Sciences Teachers, Postsecondary",50
370,"Environmental Science Teachers, Postsecondary",25-1053,detailed,"Physical Sciences Teachers, Postsecondary",50
371,"Physics Teachers, Postsecondary",25-1054,detailed,"Physical Sciences Teachers, Postsecondary",50
372,"Social Sciences Teachers, Postsecondary",25-1060,broad,Postsecondary Teachers,50
373,"Anthropology and Archeology Teachers, Postsecondary",25-1061,detailed,"Social Sciences Teachers, Postsecondary",50
374,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",25-1062,detailed,"Social Sciences Teachers, Postsecondary",50
375,"Economics Teachers, Postsecondary",25-1063,detailed,"Social Sciences Teachers, Postsecondary",50
376,"Geography Teachers, Postsecondary",25-1064,detailed,"Social Sciences Teachers, Postsecondary",50
377,"Political Science Teachers, Postsecondary",25-1065,detailed,"Social Sciences Teachers, Postsecondary",50
378,"Psychology Teachers, Postsecondary",25-1066,detailed,"Social Sciences Teachers, Postsecondary",50
379,"Sociology Teachers, Postsecondary",25-1067,detailed,"Social Sciences Teachers, Postsecondary",50
380,"Social Sciences Teachers, Postsecondary, All Other",25-1069,detailed,"Social Sciences Teachers, Postsecondary",50
381,"Health Teachers, Postsecondary",25-1070,broad,Postsecondary Teachers,50
382,"Health Specialties Teachers, Postsecondary",25-1071,detailed,"Health Teachers, Postsecondary",50
383,"Nursing Instructors and Teachers, Postsecondary",25-1072,detailed,"Health Teachers, Postsecondary",50
384,"Education and Library Science Teachers, Postsecondary",25-1080,broad,Postsecondary Teachers,50
385,"Education Teachers, Postsecondary",25-1081,detailed,"Education and Library Science Teachers, Postsecondary",50
386,"Library Science Teachers, Postsecondary",25-1082,detailed,"Education and Library Science Teachers, Postsecondary",50
387,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",25-1110,broad,Postsecondary Teachers,50
388,"Criminal Justice and Law Enforcement Teachers, Postsecondary",25-1111,detailed,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",50
389,"Law Teachers, Postsecondary",25-1112,detailed,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",50
390,"Social Work Teachers, Postsecondary",25-1113,detailed,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",50
391,"Arts, Communications, History, and Humanities Teachers, Postsecondary",25-1120,broad,Postsecondary Teachers,50
392,"Art, Drama, and Music Teachers, Postsecondary",25-1121,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
393,"Communications Teachers, Postsecondary",25-1122,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
394,"English Language and Literature Teachers, Postsecondary",25-1123,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
395,"Foreign Language and Literature Teachers, Postsecondary",25-1124,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
396,"History Teachers, Postsecondary",25-1125,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
397,"Philosophy and Religion Teachers, Postsecondary",25-1126,detailed,"Arts, Communications, History, and Humanities Teachers, Postsecondary",50
398,Miscellaneous Postsecondary Teachers,25-1190,broad,Postsecondary Teachers,50
399,"Family and Consumer Sciences Teachers, Postsecondary",25-1192,detailed,Miscellaneous Postsecondary Teachers,50
400,"Recreation and Fitness Studies Teachers, Postsecondary",25-1193,detailed,Miscellaneous Postsecondary Teachers,50
401,"Career/Technical Education Teachers, Postsecondary",25-1194,detailed,Miscellaneous Postsecondary Teachers,50
402,"Postsecondary Teachers, All Other",25-1199,detailed,Miscellaneous Postsecondary Teachers,50
403,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",25-2000,minor,Educational Instruction and Library Occupations,50
404,Preschool and Kindergarten Teachers,25-2010,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
405,"Preschool Teachers, Except Special Education",25-2011,detailed,Preschool and Kindergarten Teachers,50
406,"Kindergarten Teachers, Except Special Education",25-2012,detailed,Preschool and Kindergarten Teachers,50
407,Elementary and Middle School Teachers,25-2020,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
408,"Elementary School Teachers, Except Special Education",25-2021,detailed,Elementary and Middle School Teachers,50
409,"Middle School Teachers, Except Special and Career/Technical Education",25-2022,detailed,Elementary and Middle School Teachers,50
410,"Career/Technical Education Teachers, Middle School",25-2023,detailed,Elementary and Middle School Teachers,50
411,Secondary School Teachers,25-2030,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
412,"Secondary School Teachers, Except Special and Career/Technical Education",25-2031,detailed,Secondary School Teachers,50
413,"Career/Technical Education Teachers, Secondary School",25-2032,detailed,Secondary School Teachers,50
414,Special Education Teachers,25-2050,broad,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",50
415,"Special Education Teachers, Preschool",25-2051,detailed,Special Education Teachers,50
416,"Special Education Teachers, Kindergarten",25-2055,detailed,Special Education Teachers,50
