,id,code,category,parent,value
43,"Education and Childcare Administrators, Preschool and Daycare",11-9031,detailed,Education and Childcare Administrators,50
44,"Education Administrators, Kindergarten through Secondary",11-9032,detailed,Education and Childcare Administrators,50
45,"Education Administrators, Postsecondary",11-9033,detailed,Education and Childcare Administrators,50
46,"Education Administrators, All Other",11-9039,detailed,Education and Childcare Administrators,50
47,Architectural and Engineering Managers,11-9040,broad,Other Management Occupations,50
48,Architectural and Engineering Managers,11-9041,detailed,Architectural and Engineering Managers,50
49,Food Service Managers,11-9050,broad,Other Management Occupations,50
50,Food Service Managers,11-9051,detailed,Food Service Managers,50
51,Entertainment and Recreation Managers,11-9070,broad,Other Management Occupations,50
52,Gambling Managers,11-9071,detailed,Entertainment and Recreation Managers,50
53,"Entertainment and Recreation Managers, Except Gambling",11-9072,detailed,Entertainment and Recreation Managers,50
54,Lodging Managers,11-9080,broad,Other Management Occupations,50
55,Lodging Managers,11-9081,detailed,Lodging Managers,50
56,Medical and Health Services Managers,11-9110,broad,Other Management Occupations,50
57,Medical and Health Services Managers,11-9111,detailed,Medical and Health Services Managers,50
58,Natural Sciences Managers,11-9120,broad,Other Management Occupations,50
59,Natural Sciences Managers,11-9121,detailed,Natural Sciences Managers,50
60,Postmasters and Mail Superintendents,11-9130,broad,Other Management Occupations,50
61,Postmasters and Mail Superintendents,11-9131,detailed,Postmasters and Mail Superintendents,50
62,"Property, Real Estate, and Community Association Managers",11-9140,broad,Other Management Occupations,50
63,"Property, Real Estate, and Community Association Managers",11-9141,detailed,"Property, Real Estate, and Community Association Managers",50
64,Social and Community Service Managers,11-9150,broad,Other Management Occupations,50
65,Social and Community Service Managers,11-9151,detailed,Social and Community Service Managers,50
66,Emergency Management Directors,11-9160,broad,Other Management Occupations,50
67,Emergency Management Directors,11-9161,detailed,Emergency Management Directors,50
68,Personal Service Managers,11-9170,broad,Other Management Occupations,50
69,Funeral Home Managers,11-9171,detailed,Personal Service Managers,50
70,"Personal Service Managers, All Other",11-9179,detailed,Personal Service Managers,50
71,Miscellaneous Managers,11-9190,broad,Other Management Occupations,50
72,"Managers, All Other",11-9199,detailed,Miscellaneous Managers,50
73,Business and Financial Operations Occupations,13-0000,major,All Occupations,50
74,Business Operations Specialists,13-1000,minor,Business and Financial Operations Occupations,50
75,"Agents and Business Managers of Artists, Performers, and Athletes",13-1010,broad,Business Operations Specialists,50
76,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011,detailed,"Agents and Business Managers of Artists, Performers, and Athletes",50
77,Buyers and Purchasing Agents,13-1020,broad,Business Operations Specialists,50
78,"Buyers and Purchasing Agents, Farm Products",13-1021,detailed,Buyers and Purchasing Agents,50
79,"Wholesale and Retail Buyers, Except Farm Products",13-1022,detailed,Buyers and Purchasing Agents,50
80,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,detailed,Buyers and Purchasing Agents,50
81,"Claims Adjusters, Appraisers, Examiners, and Investigators",13-1030,broad,Business Operations Specialists,50
82,"Claims Adjusters, Examiners, and Investigators",13-1031,detailed,"Claims Adjusters, Appraisers, Examiners, and Investigators",50
83,"Insurance Appraisers, Auto Damage",13-1032,detailed,"Claims Adjusters, Appraisers, Examiners, and Investigators",50
84,Compliance Officers,13-1040,broad,Business Operations Specialists,50
85,Compliance Officers,13-1041,detailed,Compliance Officers,50
86,Cost Estimators,13-1050,broad,Business Operations Specialists,50
87,Cost Estimators,13-1051,detailed,Cost Estimators,50
88,Human Resources Workers,13-1070,broad,Business Operations Specialists,50
89,Human Resources Specialists,13-1071,detailed,Human Resources Workers,50
90,Farm Labor Contractors,13-1074,detailed,Human Resources Workers,50
91,Labor Relations Specialists,13-1075,detailed,Human Resources Workers,50
92,Logisticians and Project Management Specialists,13-1080,broad,Business Operations Specialists,50
93,Logisticians,13-1081,detailed,Logisticians and Project Management Specialists,50
94,Project Management Specialists,13-1082,detailed,Logisticians and Project Management Specialists,50
95,Management Analysts,13-1110,broad,Business Operations Specialists,50
96,Management Analysts,13-1111,detailed,Management Analysts,50
97,"Meeting, Convention, and Event Planners",13-1120,broad,Business Operations Specialists,50
98,"Meeting, Convention, and Event Planners",13-1121,detailed,"Meeting, Convention, and Event Planners",50
99,Fundraisers,13-1130,broad,Business Operations Specialists,50
100,Fundraisers,13-1131,detailed,Fundraisers,50
101,"Compensation, Benefits, and Job Analysis Specialists",13-1140,broad,Business Operations Specialists,50
102,"Compensation, Benefits, and Job Analysis Specialists",13-1141,detailed,"Compensation, Benefits, and Job Analysis Specialists",50
103,Training and Development Specialists,13-1150,broad,Business Operations Specialists,50
104,Training and Development Specialists,13-1151,detailed,Training and Development Specialists,50
105,Market Research Analysts and Marketing Specialists,13-1160,broad,Business Operations Specialists,50
106,Market Research Analysts and Marketing Specialists,13-1161,detailed,Market Research Analysts and Marketing Specialists,50
107,Miscellaneous Business Operations Specialists,13-1190,broad,Business Operations Specialists,50
108,"Business Operations Specialists, All Other",13-1199,detailed,Miscellaneous Business Operations Specialists,50
109,Financial Specialists,13-2000,minor,Business and Financial Operations Occupations,50
110,Accountants and Auditors,13-2010,broad,Financial Specialists,50
111,Accountants and Auditors,13-2011,detailed,Accountants and Auditors,50
112,Property Appraisers and Assessors,13-2020,broad,Financial Specialists,50
113,Appraisers of Personal and Business Property,13-2022,detailed,Property Appraisers and Assessors,50
114,Appraisers and Assessors of Real Estate,13-2023,detailed,Property Appraisers and Assessors,50
115,Budget Analysts,13-2030,broad,Financial Specialists,50
116,Budget Analysts,13-2031,detailed,Budget Analysts,50
117,Credit Analysts,13-2040,broad,Financial Specialists,50
118,Credit Analysts,13-2041,detailed,Credit Analysts,50
119,Financial Analysts and Advisors,13-2050,broad,Financial Specialists,50
120,Financial and Investment Analysts,13-2051,detailed,Financial Analysts and Advisors,50
121,Personal Financial Advisors,13-2052,detailed,Financial Analysts and Advisors,50
122,Insurance Underwriters,13-2053,detailed,Financial Analysts and Advisors,50
123,Financial Risk Specialists,13-2054,detailed,Financial Analysts and Advisors,50
124,Financial Examiners,13-2060,broad,Financial Specialists,50
125,Financial Examiners,13-2061,detailed,Financial Examiners,50
126,Credit Counselors and Loan Officers,13-2070,broad,Financial Specialists,50
127,Credit Counselors,13-2071,detailed,Credit Counselors and Loan Officers,50
128,Loan Officers,13-2072,detailed,Credit Counselors and Loan Officers,50
129,"Tax Examiners, Collectors and Preparers, and Revenue Agents",13-2080,broad,Financial Specialists,50
130,"Tax Examiners and Collectors, and Revenue Agents",13-2081,detailed,"Tax Examiners, Collectors and Preparers, and Revenue Agents",50
131,Tax Preparers,13-2082,detailed,"Tax Examiners, Collectors and Preparers, and Revenue Agents",50
132,Miscellaneous Financial Specialists,13-2090,broad,Financial Specialists,50
133,"Financial Specialists, All Other",13-2099,detailed,Miscellaneous Financial Specialists,50
134,Computer and Mathematical Occupations,15-0000,major,All Occupations,50
135,Computer Occupations,15-1200,minor,Computer and Mathematical Occupations,50
136,Computer and Information Analysts,15-1210,broad,Computer Occupations,50
137,Computer Systems Analysts,15-1211,detailed,Computer and Information Analysts,50
138,Information Security Analysts,15-1212,detailed,Computer and Information Analysts,50
139,Computer and Information Research Scientists,15-1220,broad,Computer Occupations,50
140,Computer and Information Research Scientists,15-1221,detailed,Computer and Information Research Scientists,50
141,Computer Support Specialists,15-1230,broad,Computer Occupations,50
142,Computer Network Support Specialists,15-1231,detailed,Computer Support Specialists,50
143,Computer User Support Specialists,15-1232,detailed,Computer Support Specialists,50
144,Database and Network Administrators and Architects,15-1240,broad,Computer Occupations,50
145,Computer Network Architects,15-1241,detailed,Database and Network Administrators and Architects,50
146,Database Administrators,15-1242,detailed,Database and Network Administrators and Architects,50
147,Database Architects,15-1243,detailed,Database and Network Administrators and Architects,50
148,Network and Computer Systems Administrators,15-1244,detailed,Database and Network Administrators and Architects,50
149,"Software and Web Developers, Programmers, and Testers",15-1250,broad,Computer Occupations,50
150,Computer Programmers,15-1251,detailed,"Software and Web Developers, Programmers, and Testers",50
151,Software Developers,15-1252,detailed,"Software and Web Developers, Programmers, and Testers",50
152,Software Quality Assurance Analysts and Testers,15-1253,detailed,"Software and Web Developers, Programmers, and Testers",50
153,Web Developers,15-1254,detailed,"Software and Web Developers, Programmers, and Testers",50
154,Web and Digital Interface Designers,15-1255,detailed,"Software and Web Developers, Programmers, and Testers",50
155,Miscellaneous Computer Occupations,15-1290,broad,Computer Occupations,50
156,"Computer Occupations, All Other",15-1299,detailed,Miscellaneous Computer Occupations,50
157,Mathematical Science Occupations,15-2000,minor,Computer and Mathematical Occupations,50
158,Actuaries,15-2010,broad,Mathematical Science Occupations,50
159,Actuaries,15-2011,detailed,Actuaries,50
160,Mathematicians,15-2020,broad,Mathematical Science Occupations,50
161,Mathematicians,15-2021,detailed,Mathematicians,50
162,Operations Research Analysts,15-2030,broad,Mathematical Science Occupations,50
163,Operations Research Analysts,15-2031,detailed,Operations Research Analysts,50
164,Statisticians,15-2040,broad,Mathematical Science Occupations,50
165,Statisticians,15-2041,detailed,Statisticians,50
166,Data Scientists,15-2050,broad,Mathematical Science Occupations,50
167,Data Scientists,15-2051,detailed,Data Scientists,50
168,Miscellaneous Mathematical Science Occupations,15-2090,broad,Mathematical Science Occupations,50
169,"Mathematical Science Occupations, All Other",15-2099,detailed,Miscellaneous Mathematical Science Occupations,50
170,Architecture and Engineering Occupations,17-0000,major,All Occupations,50
171,"Architects, Surveyors, and Cartographers",17-1000,minor,Architecture and Engineering Occupations,50
172,"Architects, Except Naval",17-1010,broad,"Architects, Surveyors, and Cartographers",50
173,"Architects, Except Landscape and Naval",17-1011,detailed,"Architects, Except Naval",50
174,Landscape Architects,17-1012,detailed,"Architects, Except Naval",50
175,"Surveyors, Cartographers, and Photogrammetrists",17-1020,broad,"Architects, Surveyors, and Cartographers",50
176,Cartographers and Photogrammetrists,17-1021,detailed,"Surveyors, Cartographers, and Photogrammetrists",50
177,Surveyors,17-1022,detailed,"Surveyors, Cartographers, and Photogrammetrists",50
178,Engineers,17-2000,minor,Architecture and Engineering Occupations,50
179,Aerospace Engineers,17-2010,broad,Engineers,50
180,Aerospace Engineers,17-2011,detailed,Aerospace Engineers,50
181,Agricultural Engineers,17-2020,broad,Engineers,50
182,Agricultural Engineers,17-2021,detailed,Agricultural Engineers,50
183,Bioengineers and Biomedical Engineers,17-2030,broad,Engineers,50
184,Bioengineers and Biomedical Engineers,17-2031,detailed,Bioengineers and Biomedical Engineers,50
185,Chemical Engineers,17-2040,broad,Engineers,50
186,Chemical Engineers,17-2041,detailed,Chemical Engineers,50
187,Civil Engineers,17-2050,broad,Engineers,50
188,Civil Engineers,17-2051,detailed,Civil Engineers,50
189,Computer Hardware Engineers,17-2060,broad,Engineers,50
190,Computer Hardware Engineers,17-2061,detailed,Computer Hardware Engineers,50
191,Electrical and Electronics Engineers,17-2070,broad,Engineers,50
192,Electrical Engineers,17-2071,detailed,Electrical and Electronics Engineers,50
193,"Electronics Engineers, Except Computer",17-2072,detailed,Electrical and Electronics Engineers,50
194,Environmental Engineers,17-2080,broad,Engineers,50
195,Environmental Engineers,17-2081,detailed,Environmental Engineers,50
196,"Industrial Engineers, Including Health and Safety",17-2110,broad,Engineers,50
197,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,detailed,"Industrial Engineers, Including Health and Safety",50
198,Industrial Engineers,17-2112,detailed,"Industrial Engineers, Including Health and Safety",50
199,Marine Engineers and Naval Architects,17-2120,broad,Engineers,50
200,Marine Engineers and Naval Architects,17-2121,detailed,Marine Engineers and Naval Architects,50
201,Materials Engineers,17-2130,broad,Engineers,50
202,Materials Engineers,17-2131,detailed,Materials Engineers,50
203,Mechanical Engineers,17-2140,broad,Engineers,50
204,Mechanical Engineers,17-2141,detailed,Mechanical Engineers,50
205,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2150,broad,Engineers,50
206,"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,detailed,"Mining and Geological Engineers, Including Mining Safety Engineers",50
207,Nuclear Engineers,17-2160,broad,Engineers,50
208,Nuclear Engineers,17-2161,detailed,Nuclear Engineers,50
209,Petroleum Engineers,17-2170,broad,Engineers,50
210,Petroleum Engineers,17-2171,detailed,Petroleum Engineers,50
211,Miscellaneous Engineers,17-2190,broad,Engineers,50
212,"Engineers, All Other",17-2199,detailed,Miscellaneous Engineers,50
213,"Drafters, Engineering Technicians, and Mapping Technicians",17-3000,minor,Architecture and Engineering Occupations,50
214,Drafters,17-3010,broad,"Drafters, Engineering Technicians, and Mapping Technicians",50
215,Architectural and Civil Drafters,17-3011,detailed,Drafters,50
216,Electrical and Electronics Drafters,17-3012,detailed,Drafters,50
217,Mechanical Drafters,17-3013,detailed,Drafters,50
218,"Drafters, All Other",17-3019,detailed,Drafters,50
219,"Engineering Technologists and Technicians, Except Drafters",17-3020,broad,"Drafters, Engineering Technicians, and Mapping Technicians",50
220,Aerospace Engineering and Operations Technologists and Technicians,17-3021,detailed,"Engineering Technologists and Technicians, Except Drafters",50
221,Civil Engineering Technologists and Technicians,17-3022,detailed,"Engineering Technologists and Technicians, Except Drafters",50
222,Electrical and Electronic Engineering Technologists and Technicians,17-3023,detailed,"Engineering Technologists and Technicians, Except Drafters",50
223,Electro-Mechanical and Mechatronics Technologists and Technicians,17-3024,detailed,"Engineering Technologists and Technicians, Except Drafters",50
224,Environmental Engineering Technologists and Technicians,17-3025,detailed,"Engineering Technologists and Technicians, Except Drafters",50
225,Industrial Engineering Technologists and Technicians,17-3026,detailed,"Engineering Technologists and Technicians, Except Drafters",50
226,Mechanical Engineering Technologists and Technicians,17-3027,detailed,"Engineering Technologists and Technicians, Except Drafters",50
227,Calibration Technologists and Technicians,17-3028,detailed,"Engineering Technologists and Technicians, Except Drafters",50
228,"Engineering Technologists and Technicians, Except Drafters, All Other",17-3029,detailed,"Engineering Technologists and Technicians, Except Drafters",50
229,Surveying and Mapping Technicians,17-3030,broad,"Drafters, Engineering Technicians, and Mapping Technicians",50
230,Surveying and Mapping Technicians,17-3031,detailed,Surveying and Mapping Technicians,50
231,"Life, Physical, and Social Science Occupations",19-0000,major,All Occupations,50
232,Life Scientists,19-1000,minor,"Life, Physical, and Social Science Occupations",50
233,Agricultural and Food Scientists,19-1010,broad,Life Scientists,50
234,Animal Scientists,19-1011,detailed,Agricultural and Food Scientists,50
235,Food Scientists and Technologists,19-1012,detailed,Agricultural and Food Scientists,50
236,Soil and Plant Scientists,19-1013,detailed,Agricultural and Food Scientists,50
237,Biological Scientists,19-1020,broad,Life Scientists,50
238,Biochemists and Biophysicists,19-1021,detailed,Biological Scientists,50
239,Microbiologists,19-1022,detailed,Biological Scientists,50
240,Zoologists and Wildlife Biologists,19-1023,detailed,Biological Scientists,50
241,"Biological Scientists, All Other",19-1029,detailed,Biological Scientists,50
242,Conservation Scientists and Foresters,19-1030,broad,Life Scientists,50
243,Conservation Scientists,19-1031,detailed,Conservation Scientists and Foresters,50
244,Foresters,19-1032,detailed,Conservation Scientists and Foresters,50
245,Medical Scientists,19-1040,broad,Life Scientists,50
246,Epidemiologists,19-1041,detailed,Medical Scientists,50
247,"Medical Scientists, Except Epidemiologists",19-1042,detailed,Medical Scientists,50
248,Miscellaneous Life Scientists,19-1090,broad,Life Scientists,50
249,"Life Scientists, All Other",19-1099,detailed,Miscellaneous Life Scientists,50
250,Physical Scientists,19-2000,minor,"Life, Physical, and Social Science Occupations",50
251,Astronomers and Physicists,19-2010,broad,Physical Scientists,50
252,Astronomers,19-2011,detailed,Astronomers and Physicists,50
253,Physicists,19-2012,detailed,Astronomers and Physicists,50
254,Atmospheric and Space Scientists,19-2020,broad,Physical Scientists,50
255,Atmospheric and Space Scientists,19-2021,detailed,Atmospheric and Space Scientists,50
256,Chemists and Materials Scientists,19-2030,broad,Physical Scientists,50
257,Chemists,19-2031,detailed,Chemists and Materials Scientists,50
258,Materials Scientists,19-2032,detailed,Chemists and Materials Scientists,50
259,Environmental Scientists and Geoscientists,19-2040,broad,Physical Scientists,50
260,"Environmental Scientists and Specialists, Including Health",19-2041,detailed,Environmental Scientists and Geoscientists,50
261,"Geoscientists, Except Hydrologists and Geographers",19-2042,detailed,Environmental Scientists and Geoscientists,50
262,Hydrologists,19-2043,detailed,Environmental Scientists and Geoscientists,50
263,Miscellaneous Physical Scientists,19-2090,broad,Physical Scientists,50
264,"Physical Scientists, All Other",19-2099,detailed,Miscellaneous Physical Scientists,50
265,Social Scientists and Related Workers,19-3000,minor,"Life, Physical, and Social Science Occupations",50
266,Economists,19-3010,broad,Social Scientists and Related Workers,50
267,Economists,19-3011,detailed,Economists,50
268,Survey Researchers,19-3020,broad,Social Scientists and Related Workers,50
269,Survey Researchers,19-3022,detailed,Survey Researchers,50
270,Psychologists,19-3030,broad,Social Scientists and Related Workers,50
271,Industrial-Organizational Psychologists,19-3032,detailed,Psychologists,50
272,Clinical and Counseling Psychologists,19-3033,detailed,Psychologists,50
273,School Psychologists,19-3034,detailed,Psychologists,50
274,"Psychologists, All Other",19-3039,detailed,Psychologists,50
275,Sociologists,19-3040,broad,Social Scientists and Related Workers,50
276,Sociologists,19-3041,detailed,Sociologists,50
277,Urban and Regional Planners,19-3050,broad,Social Scientists and Related Workers,50
278,Urban and Regional Planners,19-3051,detailed,Urban and Regional Planners,50
279,Miscellaneous Social Scientists and Related Workers,19-3090,broad,Social Scientists and Related Workers,50
280,Anthropologists and Archeologists,19-3091,detailed,Miscellaneous Social Scientists and Related Workers,50
281,Geographers,19-3092,detailed,Miscellaneous Social Scientists and Related Workers,50
282,Historians,19-3093,detailed,Miscellaneous Social Scientists and Related Workers,50
283,Political Scientists,19-3094,detailed,Miscellaneous Social Scientists and Related Workers,50
284,"Social Scientists and Related Workers, All Other",19-3099,detailed,Miscellaneous Social Scientists and Related Workers,50
285,"Life, Physical, and Social Science Technicians",19-4000,minor,"Life, Physical, and Social Science Occupations",50
286,Agricultural and Food Science Technicians,19-4010,broad,"Life, Physical, and Social Science Technicians",50
287,Agricultural Technicians,19-4012,detailed,Agricultural and Food Science Technicians,50
288,Food Science Technicians,19-4013,detailed,Agricultural and Food Science Technicians,50
289,Biological Technicians,19-4020,broad,"Life, Physical, and Social Science Technicians",50
290,Biological Technicians,19-4021,detailed,Biological Technicians,50
291,Chemical Technicians,19-4030,broad,"Life, Physical, and Social Science Technicians",50
292,Chemical Technicians,19-4031,detailed,Chemical Technicians,50
293,Environmental Science and Geoscience Technicians,19-4040,broad,"Life, Physical, and Social Science Technicians",50
294,"Environmental Science and Protection Technicians, Including Health",19-4042,detailed,Environmental Science and Geoscience Technicians,50
295,"Geological Technicians, Except Hydrologic Technicians",19-4043,detailed,Environmental Science and Geoscience Technicians,50
296,Hydrologic Technicians,19-4044,detailed,Environmental Science and Geoscience Technicians,50
297,Nuclear Technicians,19-4050,broad,"Life, Physical, and Social Science Technicians",50
298,Nuclear Technicians,19-4051,detailed,Nuclear Technicians,50
299,Social Science Research Assistants,19-4060,broad,"Life, Physical, and Social Science Technicians",50
300,Social Science Research Assistants,19-4061,detailed,Social Science Research Assistants,50
301,Forest and Conservation Technicians,19-4070,broad,"Life, Physical, and Social Science Technicians",50
302,Forest and Conservation Technicians,19-4071,detailed,Forest and Conservation Technicians,50
303,"Miscellaneous Life, Physical, and Social Science Technicians",19-4090,broad,"Life, Physical, and Social Science Technicians",50
304,Forensic Science Technicians,19-4092,detailed,"Miscellaneous Life, Physical, and Social Science Technicians",50
305,"Life, Physical, and Social Science Technicians, All Other",19-4099,detailed,"Miscellaneous Life, Physical, and Social Science Technicians",50
306,Occupational Health and Safety Specialists and Technicians,19-5000,minor,"Life, Physical, and Social Science Occupations",50
307,Occupational Health and Safety Specialists and Technicians,19-5010,broad,Occupational Health and Safety Specialists and Technicians,50
308,Occupational Health and Safety Specialists,19-5011,detailed,Occupational Health and Safety Specialists and Technicians,50
309,Occupational Health and Safety Technicians,19-5012,detailed,Occupational Health and Safety Specialists and Technicians,50
310,Community and Social Service Occupations,21-0000,major,All Occupations,50
311,"Counselors, Social Workers, and Other Community and Social Service Specialists",21-1000,minor,Community and Social Service Occupations,50
312,Counselors,21-1010,broad,"Counselors, Social Workers, and Other Community and Social Service Specialists",50
313,Substance Abuse and Behavioral Disorder Counselors,21-1011,detailed,Counselors,50
314,"Educational, Guidance, and Career Counselors and Advisors",21-1012,detailed,Counselors,50
315,Marriage and Family Therapists,21-1013,detailed,Counselors,50
316,Mental Health Counselors,21-1014,detailed,Counselors,50
317,Rehabilitation Counselors,21-1015,detailed,Counselors,50
318,"Counselors, All Other",21-1019,detailed,Counselors,50
319,Social Workers,21-1020,broad,"Counselors, Social Workers, and Other Community and Social Service Specialists",50
320,"Child, Family, and School Social Workers",21-1021,detailed,Social Workers,50
321,Healthcare Social Workers,21-1022,detailed,Social Workers,50
322,Mental Health and Substance Abuse Social Workers,21-1023,detailed,Social Workers,50
323,"Social Workers, All Other",21-1029,detailed,Social Workers,50
324,Miscellaneous Community and Social Service Specialists,21-1090,broad,"Counselors, Social Workers, and Other Community and Social Service Specialists",50
325,Health Education Specialists,21-1091,detailed,Miscellaneous Community and Social Service Specialists,50
326,Probation Officers and Correctional Treatment Specialists,21-1092,detailed,Miscellaneous Community and Social Service Specialists,50
327,Social and Human Service Assistants,21-1093,detailed,Miscellaneous Community and Social Service Specialists,50
328,Community Health Workers,21-1094,detailed,Miscellaneous Community and Social Service Specialists,50
329,"Community and Social Service Specialists, All Other",21-1099,detailed,Miscellaneous Community and Social Service Specialists,50
330,Religious Workers,21-2000,minor,Community and Social Service Occupations,50
331,Clergy,21-2010,broad,Religious Workers,50
332,Clergy,21-2011,detailed,Clergy,50
333,"Directors, Religious Activities and Education",21-2020,broad,Religious Workers,50
334,"Directors, Religious Activities and Education",21-2021,detailed,"Directors, Religious Activities and Education",50
335,Miscellaneous Religious Workers,21-2090,broad,Religious Workers,50
336,"Religious Workers, All Other",21-2099,detailed,Miscellaneous Religious Workers,50
337,Legal Occupations,23-0000,major,All Occupations,50
338,"Lawyers, Judges, and Related Workers",23-1000,minor,Legal Occupations,50
339,Lawyers and Judicial Law Clerks,23-1010,broad,"Lawyers, Judges, and Related Workers",50
340,Lawyers,23-1011,detailed,Lawyers and Judicial Law Clerks,50
341,Judicial Law Clerks,23-1012,detailed,Lawyers and Judicial Law Clerks,50
342,"Judges, Magistrates, and Other Judicial Workers",23-1020,broad,"Lawyers, Judges, and Related Workers",50
343,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,detailed,"Judges, Magistrates, and Other Judicial Workers",50
344,"Arbitrators, Mediators, and Conciliators",23-1022,detailed,"Judges, Magistrates, and Other Judicial Workers",50
345,"Judges, Magistrate Judges, and Magistrates",23-1023,detailed,"Judges, Magistrates, and Other Judicial Workers",50
346,Legal Support Workers,23-2000,minor,Legal Occupations,50
347,Paralegals and Legal Assistants,23-2010,broad,Legal Support Workers,50
348,Paralegals and Legal Assistants,23-2011,detailed,Paralegals and Legal Assistants,50
349,Miscellaneous Legal Support Workers,23-2090,broad,Legal Support Workers,50
350,"Title Examiners, Abstractors, and Searchers",23-2093,detailed,Miscellaneous Legal Support Workers,50
351,"Legal Support Workers, All Other",23-2099,detailed,Miscellaneous Legal Support Workers,50
352,Educational Instruction and Library Occupations,25-0000,major,All Occupations,50
353,Postsecondary Teachers,25-1000,minor,Educational Instruction and Library Occupations,50
354,"Business Teachers, Postsecondary",25-1010,broad,Postsecondary Teachers,50
355,"Business Teachers, Postsecondary",25-1011,detailed,"Business Teachers, Postsecondary",50
356,"Math and Computer Science Teachers, Postsecondary",25-1020,broad,Postsecondary Teachers,50
357,"Computer Science Teachers, Postsecondary",25-1021,detailed,"Math and Computer Science Teachers, Postsecondary",50
358,"Mathematical Science Teachers, Postsecondary",25-1022,detailed,"Math and Computer Science Teachers, Postsecondary",50
359,"Engineering and Architecture Teachers, Postsecondary",25-1030,broad,Postsecondary Teachers,50
360,"Architecture Teachers, Postsecondary",25-1031,detailed,"Engineering and Architecture Teachers, Postsecondary",50
361,"Engineering Teachers, Postsecondary",25-1032,detailed,"Engineering and Architecture Teachers, Postsecondary",50
362,"Life Sciences Teachers, Postsecondary",25-1040,broad,Postsecondary Teachers,50
363,"Agricultural Sciences Teachers, Postsecondary",25-1041,detailed,"Life Sciences Teachers, Postsecondary",50
364,"Biological Science Teachers, Postsecondary",25-1042,detailed,"Life Sciences Teachers, Postsecondary",50
365,"Forestry and Conservation Science Teachers, Postsecondary",25-1043,detailed,"Life Sciences Teachers, Postsecondary",50
366,"Physical Sciences Teachers, Postsecondary",25-1050,broad,Postsecondary Teachers,50
